Enterprise Architect (Infrastructure and Cloud),Dfs Venture Singapore (pte) Limited,96000-156000 SGD Per Annum,Permanent Job,10-15 Years,Scalability  Azure  Cloud Computing  Enterprise Architecture  Configuration Management  Agile Software Development  Software Development  Leadership  Architect  architecture frameworks  Compliance  Architecture Design  Teamwork Skills ,"DFS is embarking on a transformation journey and looking for exceptional talent as Enterprise Architect (Infrastructure and Cloud) for the creation of quality enterprise systems landscape.

The candidate will be working on a wide range of IT infrastructure projects. Project could be relevant to office, store, or data center/cloud, covering all DFS locations across the world. Candidate will also be working with various store business functions, operations, and global IT team(s) to recommend appropriate alternatives or solutions.

Job Responsibilities:
Conduct assessment for current EA and integration practice, identify the gaps and produce future enterprise architecture strategy and implementation roadmap.
Develop standards, policies, principles, and the best ways for creating and maintaining architecture artifacts. Use domain expertise to influence future capabilities in architecture frameworks. Host Peer Reviews to assess the status and compliance to architecture standards.
Provide deep subject matter expertise across multiple disciplines including IT cloud infrastructure, security, business applications and system integration. Assist and Guide in product delivery from a perspective of Architecting, Designing and Delivering capabilities to deliver higher value at a faster pace to the business.
Work with internal teams, vendors, and the delivery teams to provide fit for purpose cloud infrastructure and solutions in line with established government, industry and company standards, security, scalability, and sustainability.
Performs regular reviews of proposed solution designs, vetting them against design patterns, defined technology standards, compliance requirements and best practices to ensure a reliable, secure solution is implemented.
Utilizing cloud security controls, network boundary controls, and related toolset for enhanced secure infrastructure, network, applications, and data.
Proactively identifying and pursuing opportunities for further technology innovations and value creations.
Key Requirements
Bachelor's or Master's degree in Computer Science, Information Systems, Software Development or equivalent
Minimum of 10 years of relevant working experience, with at least 2 years of enterprise architect experience
Proven track record of success in an Enterprise Architect role and leading architecture design, standards, and governance.
Familiar with Enterprise Architecture concepts, design principles, best practices, standards, and processes. Ability to define reusable components, frameworks, common schemas, standards, and tools to be used.
Possess knowledge of cloud architecture, cloud native patterns, container management and cloud computing capabilities especially as offered by Ali/ Azure Cloud, GCP or hybrid cloud/multi-cloud.
Experience in microservice based architecture or awareness is desirable.
Experiences in solution architecting, designing & executing Data Lakes in CSPs (Azure/GCP/Ali cloud).
Understanding agile software development and ability to apply DevOps concepts such as Infrastructure-as-Code using CloudFormation, CI/CD using Github/Github Actions, Jenkins, CodeBuild, CodePipeline; and Configuration Management using Chef, and Ansible.
Self-driven, curious and a fast-learner, and able to take responsibility for personal growth and development.
Good leadership, communication and teamwork skills.
Able to work with business partners from different time zones
Able to travel occasionally",Other,IT,Other Software/Hardware/EDP,,23 days ago
NodeJS Software Engineer,Hubbed Pte. Ltd.,60000-120000 SGD Per Annum,Permanent Job,2-5 Years,Usability  Kubernetes  Cloud Computing  Nodejs  Software Engineering  Nginx  Javascript  Python  Docker  Ansible  Java  Api  Software Development  Spa  Writing  Ability To Learn  Financial Services ,"Full-Stack Engineer (Junior - Senior Welcome)
Compensation: 5k to 10+k depending on seniority
Location: CBD
Company Description
Our client is the leading Crypto Borrowing and Lending Platform based in Singapore whose mission is to provide financial services to cryptocurrency users. The platform currently has over $200 Million USD of Digital Assets under Management and is growing at an average of 20% month on month.
The client is a certified Fintech by the Singapore Fintech Association, an accreditation recognized by the MAS (Monetary Authority of Singapore). Hodlnaut is also currently undergoing license application under the PS Act 2019 (by the MAS) and is looking to become the first regulated entity in Singapore within the Crypto Borrowing and Lending Space.
Job Description
We are currently looking for a full stack developer to join our small team. Almost everything is built using JavaScript (React + Node.JS) and deployed on AWS. Our team is small; we don't have specialists or people who are experts on algorithms but we have a team that knows how to deliver a product from code to production. We want you to be part of this ethos, be willing to learn how to do tasks outside your skillset and keep the customer and business in mind when writing code.
Here are some technologies that we use: React, Redux, Material-UI, Node.JS, Express, Rest API, Websockets, Redis, Gitlab, AWS, Docker, Nginx and more.
We are looking for:
Experience/Education to demonstrate a track record in building web platforms
Knowledge and experience with micro service architecture backed and SPA frontend
Able to write JavaScript code proficiently
Consider performance, usability and security while coding
Ability to learn new technologies/skills independently through online resources
Interest and knowledge in some of these technologies in a bonus:
Message queues (Kafka, RabbitMQ)
Cloud Computing (AWS)
Devops (Ansible, Gitlab, Docker, Kubernetes)
Monitoring (GrayLog, Prometheus, Grafana)
Development of Blockchain Wallets for the Hodlnaut App
Ability to build data analytics tools for marketing team
Passion for cryptocurrencies/finance is a plus
This position provides a large opportunity for professional growth as we scale our organization. The individual who joins our team should expect to scale with our company and be ready to take on larger responsibilities over time. The position will report directly to the CTO
Application Instructions:
Please apply for this position by applying at https://hubbedin.com/jobs/hodlnaut-senior-software-engineer-62048daa8b7cbee6c52305c1",Other,IT,Other Software/Hardware/EDP,,23 days ago
"DELIVERY ANALYST IT, TRANSPORT MANAGEMENT SYSTEM (TMS)",Dhl Supply Chain Singapore Pte. Ltd.,60000-108000 SGD Per Annum,Permanent Job,5-7 Years,Requirements Gathering  Uat  Application Support  Java  Business Requirements  Analytical Skills  Supply Chain  Project Management  Tms  supply chain engineering  Transportation  Supply Chain Management  Supply Chain & Logistics  Stakeholder Management  Logistics and Transport  Supply Chain Operations ,"In this role you will be responsible for the Build and Implementation support of E2Open Transport Management System (previously Blujay) and dependent downstream transport systems (e.g. Delivery Connect, ELOG, SCALE, SeLECT, WMOS2017, MYSC-T&T) across APAC.
You play an important role in ensuring alignment with regional Product Management strategies and an internal consultant. You will provide functional and technical expertise to assist country teams on the deployment of the APAC strategic Transport Management System (TMS), associated auxilliary applications and application integration with e.g. TOPs, TNET, PTV, Centiro, Paragon
Responsibilities
Further responsibilities of the role will include;
Provide functional & technical expertise relating to TMS and DeliveryConnect and assist countries with functional and technical queries.
Assist Transport Operations and IT teams across APAC to migrate TMS and DeliveryConnect to newer versions.
Review, assess, provide solutions to Change Requests raised by Transport Operations or country IT teams. Ensure changes are reviewed and are in-line with overall product strategy and best-practice.
Assist/lead the implementation or changes of TMS and DeliveryConnect.
Manage scope requirements, gap analysis, functional specifications, design specifications and UAT support and develop detailed implementation plans to support the projects.
Design, document, develop material and execute training relating to the TMS and DeliveryConnect and any core supporting applications and build knowledge transfer across countries
Ensure system configuration, training, processes, procedures, functionality etc. are well documented and that knowledge is shared amongst the wider DHL Transport and IT community.
Design, develop, test and implement standards relating to the delivery, deployment and support of the Transport Management System
Develop Integration standards, mapping specifications and enhancements.
Drive process harmonisation across APAC and develop tools, methodologies, standards & templates to assist with the deployment of the TMS and DeliveryConnect.
Assist with post implementation support and help ensure that projects adhere to documented transition processes and that all transition requirements are met
Assist the Product Manager in developing and maintaining an updated Strategic product roadmap for the TMS and DeliveryConnect.
Stakeholder Management
Members of the DHL Transport Operations community to understand business requirements & deploy IT solutions to address those requirements
Country IT to deploy and enhance the TMS and DeliveryConnect and auxilliary applications.
Application vendors to develop robust and supportable solutions that meet DHL requirements.
Application Support & Infrastructure teams to deliver the IT environments that support the TMS and DeliveryConnect application.
Knowledge expert to peers, share knowledge and train DHL employees and when required.
To foster / encourage cross-effectiveness across teams.
Requirements
To be successful in this role, we are looking for a person who has the following;
General knowledge of IT methods and practices
Requirements gathering and definition
Experience of Supply Chain experience
Ability to assess risk from both technical and business viewpoint
Deep analytical skills - able to define critical components/path
Excellent communication in verbal and written English (tailored to all levels and audiences) - able to conceptualize, visualize
Ability to integrate the solution to domains/standards and best practices
Demonstrable planning and estimating skills
Specialist level knowledge of S/W development lifecycle & support - advanced understanding of technical and software architecture
Project management hands on experience and expertise as well as ability to adopt a consulting style as appropriate
Good understanding of multiple technologies (ego RDBMS, Cloud Computing / SaaS, Mobile , SOA, UI, Integration, SQL, .NET platform, Java, Open Source, Web services)",Other,Purchase/Logistics/Supply Chain,Transportation/Shipping Supervisor,,15 days ago
SOLUTIONS ARCHITECT,D.v.i Solutions (s) Pte. Ltd.,34800-42000 SGD Per Annum,Permanent Job,2-5 Years,Integration  Cloud Computing  visual systems  Enterprise Software  Solution Architecture  Enterprise Architecture  Soa  Software Development  Accounting & Valuations  Pre-sales  designed  solution proposal  Driving  Specifications  Managing sales team ,"The Solutions Architect will design bespoke Audio & Visual (AV) solutions for customers in a wide array of venues. This individual will coordinate with team members in driving a new sales opportunity from conceptualization through a completed design and quote. Additionally, the Solution Architect will also assist in setting company-wide standards with vendors, partners, services, and distribution.
Key responsibilities include :
play an integral role in understanding customers AV requirements, provide AV system solutions within those budget parameters and reach consensus with the Sales team to an acceptable AV Solution proposal.
Create & strategize on audio visual systems specifications outlining functional requirements for all audio, video and control systems in each area and equipment list, block drawing, quotations & build of materials.
Responsible for the research, analysis, design, evaluation, comparison and integration of various AV & IT products and technologies for use innovative and efficient designs.
Present technology solutions effectively to Sales team and Customers with visual drawings, demonstration or presentation.
Coordinate requirements and implement proof of Concept design.
Qualifications:
At least a Diploma, Advanced/Higher/Graduate Diploma, Engineering
Computer/Telecommunication, Engineering - Electrical/Electronic, Computer Science/Information Technology or equivalent.
At least 3-5 years of experience in the related field is required for this position.
Working knowledge of the Audio Visual, Visual, Video conferencing, IT network &/or Unified
Communications industry will be preferred.
Experience working with a variety of UC solutions, including zoom, Microsoft Teams, Webex, etc
Ability to comprehend Schematic drawings.
Multi-tasking is a necessary skill needed for this position. One must be comfortable in high-pressure situations and dealing with various personalities in given situation. Must also have the ability to prioritize and work independently with minimal supervision.
Initiative and ability to research problems independently, finding the root causes.
Emphasis on sharing of knowledge through god communications, peer training. And written documentation. Strong interest in performing quality hands-on work and a challenging spirit.
Solid interpersonal skills that enhance a team environment.
Ability to problem-solve independently with a sense of urgency.
Positive customer service and team attitude (helping others when required).
Proficient In spoken English.
Benefits
5-day work week
Medical cover
Leave
Opportunity for career advancement
Interested applicants are invited to send us yours CV in word format indicating current/ last drawn salary, expected salary and available join date.",Other,Others,Other Roles,,23 days ago
L1 Technical Support Office [Ubi | Shift Hour | Up to $2800] - 3775,The Supreme Hr Advisory Pte. Ltd.,28800-33600 SGD Per Annum,Permanent Job,0-1 Years,Azure  DHCP  Computer Hardware  Windows OS  Windows  Dns  Linux  Technical Support  Troubleshooting  Hardware  Ticketing  Customer Support  Active Directory  Administration  Laboratory  Customer Service Experience ,"Clicking APPLY NOW or Whatapps +65 82269116
Reg No: R21103775
The Supreme HR Advisory Pte Ltd EA No:14C7279
Job Responsibilities
To provide 1st level of support via hotline calls and emails with SLA
To log all customer requests into the internal ticketing system.
To monitor Linux & Windows systems on AWS and Azure cloud
To provide efficient and timely technical support to end-user.
To escalate any unresolved issue to 2nd and 3rd level engineers for further resolution
To follow up on the progress of all outstanding issues until closure
To perform other IT related duties when assigned by the management
Job Requirements
Diploma in IT with relevant experience
Familiar with Windows OS, Printer Administration, Office 365, Active Directory, O365 Sharepoints, and OneDrive support experience
Basic understanding of DNS, DHCP, and TCP/IP
Must have a strong sense of responsibility, initiative, and commitment to customer service
Experience in Linux/cloud computing will be an advantage
Able to work under shift schedule (work 4 days and rest 3 days)",Other,IT,Other Software/Hardware/EDP,,16 days ago
"Assistant Vice President, Product Delivery",Starhub Ltd.,180000-216000 SGD Per Annum,Permanent Job,10-15 Years,Web Services  Cloud Computing  Software Engineering  Agile Methodologies  Spark  Mobile Applications  Software Delivery  Java  Software Development  C++  Agile Development  Provide leadership  Collaboration  Efficient  Driving  Agile delivery ,"Job Title: Assistant Vice President, Product Delivery
Job Purpose
You will help StarHub grow a healthy, collaborative, continuously improving engineering and product culture. As customer lives move towards becoming more Digital the person occupying this role will lead this transition and play a key role in driving product factory and efficiency in delivery. The role purpose is the spark for driving better outcomes in our teams and products, using deep knowledge of software delivery practices to increase the entire agile delivery team's impact to business. You will also manage capex spend, related to delivery resources and achieve efficiency in delivery and timelines. You will provide leadership as well as strategic, visionary and inspirational support to the agile teams and cross functional teams in delivery of initiatives and projects.
Responsibilites
A. Own the AGILE Development Factory
Continuously shape the agile delivery function strategy in concert with the needs of Starhub product delivery teams
* Lead the agile delivery teams in self-managing their work and coach them towards self-sufficiency
* Focus the teams on delivering customer value, incorporating feedback, and continuously improving through experimentation
* Educate all in Starhub on agile and lean concepts, principles, and practices
* Challenge established thinking to apply concepts and principles to situations and decisions to the benefit of users
* Ensure alignment from Strategic themes down to team delivery
* Facilitate prioritization of Product Strategy investments with company leaders.
* Provide input to development and refinement of enterprise agile processes.
* Advocate for and improve modern agile / lean software development and organizational practices across Starhub
* Facilitates resolution of enterprise execution dependencies. Anticipate risks and dependencies and manage them proactively
* Maintains industry knowledge, staying abreast of industry trends and latest training topics.
* Facilitates Portfolio and Portfolio-related meetings and rituals.
* Continuous learning and refining Agile practices in order to gain team efficiencies.
* Champion the drive to remove impediments (e.g., cultural barriers, logistical challenges). Create effective cross-functional collaboration within the agile teams and the organization at all levels from individual team to organisation level.
B. Financial Management
* Plan and manage the resources and budgets to meet efficiency targets for the AGILE Factory
* Identify opportunities for efficiency in CAPEX related to multiple AGILE Teams
* Lead and define team set up based on AGILE approaches, example SCRUM, DEVOPS
* Deliver quantifiable improvements in ROI and cost per resource across all teams
* Define the strategy for efficiency in automation of development and testing
* Lead and drive test automation tools and best practices
* Co-facilitate all Agile ceremonies (daily standups, sprint review, planning meetings, and team retrospectives) in a way that ensures full team engagement.
* Foster self-organization and growth within the team. Foster close cooperation across all team members, encourage cross-training and supporting each other.
C. People and Scrum management
* Recruit, hire, and connect the team with the broader agile community
* Lead and inspire a team with diverse backgrounds, skills, and passions
* Manage multiple scrum teams and scrum leaders across agile teams
* Partners with Product Planning/Strategy, Enterprise Architecture and Product/Business owners to manage the Enterprise Portfolio.
* Supports the process for planning for the 6-quarter product strategy roadmap.
* Facilitates discussion, decision making, and conflict resolution within the Portfolio team and stakeholders.
* Provide input to delivery goals and objectives on a quarterly basis to the AGILE Streams; measure, communicate and manage to those goals throughout the quarter.
D. Vendor Management
* Work with multiple vendors for resource on-boarding, delivery management, support staff readiness to have an always on culture
* Manage strategic relationships with vendors and inculcate best practices sharing
* Drive down costs and improve efficiency in resources allocation and create opportunities for vendor alignment
* Vendor contract management and SLAs for resources
Requirements
* Degree in business management, IT software or related field with at least 10 years of related experience delivering complex IT projects
* Experience in working with Agile practices, leading agile projects as project delivery management
* Good understanding of working with Agile practices, leading agile projects as an Agile Coach, Product Owner, and/or Scrum Master
* Confident and skilled at navigating the team through road-blocks to complete sprints on time
* Experience managing projects using agile and waterfall methodologies
* Knowledge of best-in-class agile execution practices
* Deep understanding of agile and lean principles.
* Strong analytical and communication skills.
* Resilient and is adaptable in a dynamic environment
*We regret that only shortlisted candidates will be notified.",Other,"IT , Manufacturing/Engineering/R&D","Projects , Other Software/Hardware/EDP",,23 days ago
Information Technology Manager,Boon Software Consulting Pte Ltd,60000-84000 SGD Per Annum,Permanent Job,5-7 Years,Oracle  Information Technology  Sql  System Design  Windows  Java  Technical Leadership  Data Analytics  Project Delivery  Linux  Software Development  Business Requirements  Coaching  Mentoring  Troubleshooting  Consulting  Team Player ,"We are hiring Information Technology Manager.
Working at Boon Software is unlike any other company you've ever worked for before. You'll be challenged to do your best work, encouraged to express who you are as a professional and as a person, and supported in every way possible. We are a growing company with some of the brightest minds in the industry, so you'll have plenty of opportunities to learn from others around you. What's more, we're a small team that fosters collaboration and teamwork.
We are acquiring new talent to join our technology team of our Center of excellent. If you think you have what it takes to fit in the mentioned roles, please write to us on [HIDDEN TEXT] along with your CV. Only candidates short-listed for an interview will be contacted.
Job Title:
Information Technology Manager - You will report to our Chief Technology Officer. You will lead a team of software engineers in supporting and developing application software including software installation, testing, troubleshooting, configuration, and maintenance, and working closely with engineers to ensure high-quality service and productivity of the company.
Requirements:
Diploma or Degree in Computer Science or related field.
Good spoken and written English
Customer-service oriented with a problem-solving attitude.
Proactive team player with the ability to work in a dynamic environment.
Strong communication skills and willingness to learn new technologies as required.
Minimum 5 years of relevant working experience in Tech industry.
Hands-on experience with full software development life cycle.
Experience in leading and managing a team of software engineers or programmers.
Good technical skill in Oracle RDBMS, SQL Queries, PLSQL, Jasper Report, Java programming, Java Script, HTML.
Familiar with Windows, Linux, Unix Operating System administration.
Information Technology Manager is expected to:
Provide technical leadership and guidance to internal team to grow their skills through coaching and mentoring.
Lead a team of software engineers in developing and delivering customer enhancement and/or change requests.
Lead a team of help desk technicians in providing support to customers for existing application systems in terms of problem resolution and ensure that SLA is met.
Manage escalations and ensure any support requests are responded to and resolved in a timely manner.
Involve in system development in accordance with the specification provided by the project manager.
Involve in system deployment to customer environments.
Perform quality checks on the work done by team members.
Review requirements, specifications, and business processes; conduct impact analysis on existing systems to recommended technical solutions according to Business requirements.
Translate business operation requirements into technical specifications for system design and development.
Work with internal Professional Service team/Customer to manage new projects which involve identifying system requirements, resource planning, monitoring development progress, testing towards successful project delivery.
Any other duties as assigned by immediate supervisor.
Company Overview
Boon Software is a computing solutions company that provides innovative solutions for clients of all sizes demanding transformational technology. Our proprietary solutions on Symphony Logistics Suite is a suite of enterprise logistics execution products that is widely deployed in 15 countries, over 200+ sites throughout the world. With more than 26 years of experience in the digitalisation on businesses, Boon Software leads digital corporate transformation with our innovations and IPs revolving AR, IoT, autonomous robotics, data integration, data analytics, and automation.
Our solutions stack is built with a set of modern technology platforms including SEEBURGER Business Integration Suite (BIS) from a global leader in business integration, Predictive and Advanced Analytics platform of SAS Institute, Oracle, and Amazon AWS cloud computing platforms and Epson Augmented Reality Smart Glasses among others.",Other,IT,Other Software/Hardware/EDP,,15 days ago
Senior Cloud Economics BDM,Amazon Web Services Singapore Private Limited,216000-300000 SGD Per Annum,Permanent Job,10-15 Years,Azure  It Operations  Distributed Systems  Virtualization  Management Consulting  Outsourcing  Investments  Operations Management  Value Analysis  Economics  FOCAL  Written Communications  Sales Operations  virtual teams  Financial Modeling  Financial Advisory ,"Would you like to engage directly with C-level executives, IT professionals and influencers at all levels to help assess and understand the business value, ROI and financial benefits of running workloads on AWS Can you take complex IT workloads and cost models scenarios and simplify them down to the essentials that are easy for sales managers and reps to understand and apply Are you good at defining and quantifying business value, benefits and migration costs of improved processes and tooling Do you have the business savvy and the technical background necessary to help establish Amazon in ASEAN as a key technology platform provider AWS is leading the next paradigm shift in information technology and is looking for world-class candidates to join its Migration Team & Enterprise in ASEAN
AWS is looking for a Cloud Economics Business Development Manager, who will help prospective customers in ASEAN shape their information technology strategies and financial models, and quantify the benefits of running applications in the cloud. You will play a key role in accelerating the Cloud migration journey for these customers. You will identify economic barriers to adoption of AWS Cloud with these customers and develop repeatable strategies to overcome these barriers. You will communicate the economic value proposition for AWS cloud to a broad audience of IT, business & senior financial customer executives (CFO level). You will work with partners and other groups within AWS to give customers the best insights into how to run their applications on AWS cloud, in the most cost effective manner. You will also be expected to be the focal point within AWS for all business development activities.
The ideal candidate will possess a business background, with a strong understanding of sales operations and financial processes, combined with the technical depth, business experience and financial understanding to easily communicate the economic benefits of cloud computing. Familiarity with complex legacy IT environments, quantifying and developing business cases to justify large scale technology investments and creating detailed cost models for these environments is preferred.
Your responsibilities will include driving business case, value analysis and ROI related BD activities within AWS as well as supporting the ASEAN Sales organization, Marketing, BD and Partner teams on ROI/economic related customer and partner engagements. You will serve as an expert resource on the financial modeling of IT applications and infrastructures. You will engage directly with our customer's CFOs and their organization to understand the impact of cloud on the business case and funding decisions. In appropriate cases you will bring in other AWS resources as necessary to help our customers properly evaluate their IT options from an economic perspective.
ROLES & RESPONSIBILITIES
Serve as a key member of the Business Development team in helping to drive AWS Sales engagements with our customers regarding the economics of their IT infrastructure.
Work with AWS Sales, Solutions Architects and BD teams to drive proactive business value and financial conversations with our customers
Serve as a central resource for the ASEAN Sales team to help our customers create appropriately detailed financial models for their current and future IT landscape.
Serve as a key source of market insights into how our customers view the economic benefit of using AWS relative to deploying applications on-premise or in traditional data centers
Create a repository of cloud economics cases studies to share learnings and benchmark data within the AWS team and with our partners
In conjunction with Training, help create cloud economics related training programs and material for the ASEAN team, AWS partners, and AWS customers themselves so that they can properly address TCO and economic-related issues
Work with internal stakeholders to communicate market realities regarding the economics of running IT applications and infrastructures in the cloud
BASIC QUALIFICATIONS
12 years of business development, IT operations, management consulting, financial advisory or experience.
Detailed business case development, financial modeling and analysis of large scale technology investments
Demonstrated ability to work effectively across internal and external organizations, including sales, marketing, business development and training.
Strong verbal and written communications skills are a must, as well as the ability to work effectively and deliver results across cross-functional, remote and virtual teams
A keen sense of ownership, drive, and scrappiness is a must this is a hands-on role
PREFERRED
Prior experience working with senior executives (both IT and Finance), IT outsourcing vendors and cloud service providers to analyze implementation options for on-premise, remote virtualized and cloud IT Infrastructure
Prior experience working in the IT industry is highly desired, either as a vendor, consultant or as an enterprise customer.
Some relevant technical knowledge is helpful, such as: enterprise systems, database systems, core distributed computing concepts, fundamentals of cloud computing and virtualization, etc. with ability to go deep enough on technical aspects to differentiate between varied cloud computing services.",Other,Sales/Business Development,Other Sales,,16 days ago
Service Technician (POS System/MNC),Talent Trader Group Pte. Ltd.,18000-36000 SGD Per Annum,Permanent Job,0-2 Years,Cloud Computing  Vmware  User Training  Team Leader  Virtualisation  Technical Support  Pos  Preventive Maintenance  Troubleshooting  Electrical  Work Independently  Inventory Management  Class 3 Driving License  Disposition  Commissioning  Able To Work Independently ,"Responsibilities
Performing installation, servicing and preventive maintenance for POS system on site
Provide user training to customers
Take care of spare parts and inventory management
Maintain workplace cleanness and safety
Requirements
Min Nitec in Engineering or it's equivalent
At least one year related working experience
Posses class 3 driving license is an added advantage
Able to work independently
Interested candidates who wish to apply for the advertised position, please apply with an updated copy of your resume to https://www.careers-page.com/talent-trader-group/job/43V9YV
EA License No: 13C6305
Reg. No.: R1874608
For candidate who applied for the advertised position is deemed to have consented to us that we may collect, use or disclose your personal information for purpose in connection with the services provided by us.",Other,Manufacturing/Engineering/R&D,Other Production/Engineering/R&D,,23 days ago
Senior/ IT Executive,Hyperscal Solutions Pte. Ltd.,36000-64800 SGD Per Annum,Permanent Job,2-5 Years,It Service Management  Javascript  Windows Server  Servers  System Administration  Active Directory  Business Analysis  Project Management  It Management  Business Management ,"COMPANY DESCRIPTION
Established since 1987, ECON Healthcare Group celebrates more than 30 years of commitment to quality healthcare and eldercare services this year. As a regional provider for integrated healthcare servcies in Singapore, Malaysia and China, the Group incorporates a chain of medicare centres and nursing homes, hospital services, a careskill training centre, a chain of senior services centres, home care services, ambulance services, physiotherapy services and traditional Chinese medicine services. The Group also provides consultancy for the development and management of retirement living communities.
RESPONSIBILITIES
Responsible for the management and provision of support in the organisation's IT infrastructure which consists of the application system, operating system, cloud computing, networking, security system upgrading and performance tune-up etc
Project manage all stages of system implementation, improvement & integration projects, from project scope development to implementation.
Plan and implement new IT initiatives in supporting the organisation digitalisation needs, includes managing in-house apps
Ensure systems stay up-to-date with the latest security standards, as well as best practice security measures against cyber attacks
Responsible for daily, weekly and monthly system backup and administration
Perform regular maintenance of the on-premise and cloud Windows-based servers
Manage the procurement of end-user computing devices and installation of software, includes hardware warranty & software licence management
Ensure timely and accurate delivery of technology products and services
Upkeep of hardware & software within budgets and according to the organisation's standards
Provide training and first level of troubleshooting support to users on the required IT functions
Maintain and manage all IT contracts and renewals, includes vendor management
Maintain all web sites, domains and hosting system.
Prepare for audits and ensure all documentation and logs are kept up to date.
Define and implement IT procedures, IT security and data protection policies where necessary.
15.Perform such other duties and responsibilities that may be assigned from time to time
QUALIFICATIONS
Diploma/Degree in Computer Science/Business Information System/IT-related with at least 3-5 years experience
First level support experience and/or knowledge of technology operations within the organisation, e.g. cyber security system, database, cloud computing, network monitoring and maintenance
Strong knowledge in Microsoft environment, e.g. Active Directory administration, Windows Servers, SQL Query, Office 365
Good understanding on Powershell, Microsoft Power Apps (low-code development platform) and Azure Active Directory Connect
Experience in business analytics and development within mobile/web applications preferred.
Familiar with Sage and/or healthcare systems preferred
Experience in project management within healthcare environment will be an advantage
Fast learner and self-motivated to keep up-to-date with new technologies
Able to work independently and in a team environment
Able to work under pressure and meet the deadline
Please note that your application will be sent to and reviewed by the direct employer - Econ Healthcare",Other,Manufacturing/Engineering/R&D,Projects,,16 days ago
Hosting Platform Lead,Dfs Venture Singapore (pte) Limited,96000-156000 SGD Per Annum,Permanent Job,5-7 Years,Cloud solutions  Kubernetes  Azure  Change Management  Cloud Computing  Cloud Storage  Application Development  Problem Management  Networking  Docker  Orchestration  Virtualization  Dns  architects  Problem Solving  Service Desk  Disaster Recovery  Hybrid Cloud ,"DFS is rapidly transforming its information systems landscape to drive interesting business initiatives which has dependencies on how effectively data assets are being managed.
As a CTO leadership team member, this role is responsible for the hands-on Technology operations and delivery of Cloud and Hosting Platform. The role will collaborate with Application Development, Business partners, Architecture, Networks, vendors/service providers, and various infrastructure and operations groups to drive DFS moving to cloud programs, and eventually create and support a modernized hosting environment for new and existing products supported by Hybrid Cloud Infrastructure.
If you are passionate about the Cloud operations, Cloud architecture and governance, come and join us!
Responsibilities:
Lead the Enterprise Cloud Hosting and Governance activities spearheaded by CTO Team.
Lead, manage and govern the Cloud Services and Hosting platforms team and external vendors, including software deployment and upgrades, system setup, system administration, monitoring, incident resolution, problem management, configuration and change management, service desk, security management and monitoring, capacity planning, availability management, disaster recovery and routine update of services
Ensures timely liaison with vendors regarding problems, fixes, and required enhancements
Define and Drive strategies related to Cloud Infrastructure and Cloud Services (Ali Cloud, Azure and Google) throughout the enterprise ensuring all performance and cost curves are closely managed
Drives the adoption, and articulate the risks/opportunities from leveraging Cloud Infrastructure
Analyze the cloud infrastructure and provide financial updates and optimization recommendations
Create metrics, reports, and recommended remediation options and plans for financial excellence in the cloud
Oversees and directs the timely evaluation, qualification, and implementation of new products, tools, and related appliances as it pertains to the Cloud environment
Working with large scale networks, compute and storage architectures and assisting Tech Infra & Ops team and other Solution Architects devise best practices
Lead teams to critically review current processes for effectiveness, quality and simplification
Develop and implement process solutions to improve operational efficiency
Key Requirements
BS in Computer Science or equivalent (MS preferred)
5-8 years or more of IT Service Management, data center, server, and storage management, virtualization, Citrix, networking, systems management, and/or project management is preferred
Professional with experience leading large complex enterprise-wide moving to cloud projects/programs
Familiarity with common enterprise services (Directory Services, Information Assurance, Virtual Desktop, etc.), products (i.e., Oracle, SAP) and frameworks (ITIL)
Professional experience architecting/operating solutions built on public Cloud Ali Cloud and Azure
3rd party Cloud and CDN Provider Experience: Ali Cloud, Azure, Akamai, Palo Alto etc.
Standard Infrastructure Experience: Monitoring, DNS, DHCP, Backups, and Disaster Recovery
Outstanding customer relationship management, operations, delivery experience and collaboration skills
Demonstrated ability to think strategically about business, product, and technical challenges
Familiarity with archive, disaster recovery and business continuity in global operations
Familiarity with compliance & security standards across the enterprise IT landscape
Experience with open-source technology-based infrastructure and deployment orchestration solutions, e.g., Kubernetes, Terraform, Docker, etc
Effective communicator at all levels of the organisation and outside with third parties
Familiarity with project management approaches, tools and phases of the project lifecycle
Exceptional communication skills
Ability to be personable and tenacious as the situations requires
Able to work effectively at all levels in an organization. Excellent active listening skills.
Problem solving and root cause identification skills. Strong analytic and decision-making abilities.
Must be a team player and able to work with and through others.
Able to coach and mentor direct team members and extended team member",Other,IT,Other Software/Hardware/EDP,,23 days ago
