Id,Name,Type
307, Elastic Stack,Skills
308, SonarQube,Skills
309, Coding,Skills
310,  Azure,Skills
311,  Sdlc,Skills
312, Intigration Testing,Skills
313, GitlabCI,Skills
314, NET,Skills
315, Unit,Skills
316, Development Teams,Skills
317,  Maven,Skills
318, Gradle,Skills
319, Guiding,Skills
320, Maven,Skills
321, Tower,Skills
322, Vault Scripting,Skills
323,  Consulting ,Skills
324, Database Security,Skills
325, Subject Matter,Skills
326, Perform Proof,Skills
327,  Information Technology,Skills
328,  Technical Documentation,Skills
329,  Application Security,Skills
330, POV,Skills
331,  Communication,Skills
332, ITQ,Skills
333, RFP,Skills
334, Concept,Skills
335, advantageousKnowledge,Skills
336, Application,Skills
337, Cloud Native,Skills
338,  Problem Solving Skills,Skills
339, clientsConduct,Skills
340, deploymentPerform,Skills
341, scope,Skills
342, Application Security,Skills
343,  client rapport,Skills
344, RFQ,Skills
345, Value,Skills
346,  It Operations,Skills
347,  Computer Vision,Skills
348,  Machine Learning,Skills
349,  Continuous Integration,Skills
350, maintenanceEnsure,Skills
351,  Pipelines ,Skills
352,  AWS,Skills
353," ""measuresQualificationsBachelors""",Skills
354, uptime,Skills
355,  Construction,Skills
356, ResponsibilitiesDevelop,Skills
357, CTO,Skills
358, Test,Skills
359, Deep Learning,Skills
360,  Application Development,Skills
361, ES6,Skills
362, REST,Skills
363, MySQL,Skills
364, Web Services,Skills
365,  Agile Methodology,Skills
366, ORM,Skills
367, Caching,Skills
368, Redux,Skills
369, NodeJS,Skills
370, REST API,Skills
371, Play,Skills
372, Jest,Skills
373, HTML5,Skills
374, Play Framework,Skills
375, Api Development,Skills
376,  Html5,Skills
377, GitHub,Skills
378, Payments-,Skills
379, Junit,Skills
380,  Web Services,Skills
381, Hibernate,Skills
382, Design,Skills
383, Java8,Skills
384,  Data Structures,Skills
385, Distributed,Skills
386,  JUnit,Skills
387, de-,Skills
388,  MySQL,Skills
389,  Oracle,Skills
390, Micro Services,Skills
391, Oracle,Skills
392, React,Skills
393, OWASP,Skills
394, Data,Skills
395, Banking/,Skills
396, Spring Boot,Skills
397, UI Framework,Skills
398,  Hibernate ,Skills
399,  Debugging,Skills
400, Message Queue,Skills
401, SCSS,Skills
402, Symfony,Skills
403, Go,Skills
404, TCP,Skills
405, Excellent Linux,Skills
406,  experience design ,Skills
407,  Zend,Skills
408,  Web Applications,Skills
409,  Agile Methodologies,Skills
410, Engineering,Skills
411, Qualifications,Skills
412, Payment Gateway,Skills
413, SQL/ No,Skills
414,  Engineering Mathematics,Skills
415, Information Technology,Skills
416,  Team Player,Skills
417, SDKs,Skills
418, DNS,Skills
419,  Multitasking Skills,Skills
420, Mathematics,Skills
421, Automation Testing,Skills
422,IaaS,Skills
423, product management,Skills
424, United States,Skills
425, #,Skills
426, Asia Pacific,Skills
427, anEnterprise Cloud,Skills
428, conferences,Skills
429, Australia,Skills
430, Shenton Way,Skills
431,  Big Data,Skills
432, LinkedIn,Skills
433, Facebook,Skills
434, Infrastructure Modernization,Skills
435, platforms,Skills
436, Google,Skills
437, Synpulse8,Skills
438, XaaS,Skills
439,  Cloud Architect ,Skills
440, AXA Tower,Skills
441,  network infrastructure,Skills
442, Sales Engineer,Skills
443, FaaS,Skills
444,  Nosql,Skills
445, Europe,Skills
446, Relational Databases,Skills
447, Enterprise Cloud,Skills
448, security,Skills
449, enterprise architectures,Skills
450, NoSQL Databases,Skills
451,  Pmp,Skills
452,  People Management,Skills
453,  Cabling,Skills
454, Change Management,Skills
455, Degree,Skills
456,  Negotiation,Skills
457,  Systems engineering,Skills
458,  MS Project,Skills
459,  organizational leadership ,Skills
460, Systems EngineeringGood,Skills
461,  Prince2,Skills
462,  Writing Skills,Skills
463, Profit &,Skills
464, Goh Meng,Skills
465, Notice,Skills
466, Structured Cabling,Skills
467,  Management Skills,Skills
468, PRINCE2,Skills
469,  Vendor Management,Skills
470,  Communication Skills,Skills
471, CITPM,Skills
472,  Risk Management,Skills
473,  Enterprise Architecture,Skills
474,  Cloud Computing Iaas,Skills
475, NSX,Skills
476, Satellite,Skills
477, VMware vCenter,Skills
478, VCF,Skills
479, Red Hat,Skills
480, IBM,Skills
481, Microservices,Skills
482, OpenShift Administration,Skills
483, Virtual Servers,Skills
484,  virtual servers,Skills
485, VCS,Skills
486, Infrastructure,Skills
487, IBM Cloud,Skills
488, OpenShift,Skills
489,  open source technology,Skills
490,  Iaas,Skills
491, Insurance Services,Skills
492, a Cloud,Skills
493, VPC,Skills
494,  Cloud solutions,Skills
495,  systems thinking,Skills
496, Applications,Skills
497, Certified Kubernetes,Skills
498, Bare Metal,Skills
499,  Databases,Skills
500,  Vmware,Skills
501, The Cloud,Skills
502, Financial,Skills
503,  Customerfacing,Skills
504, Interpersonal Skills,Skills
505, Agile FrameworkLINUX,Skills
506, Elaborate Projection,Skills
507, JSONExperience,Skills
508, React JS,Skills
509, CSS,Skills
510, Team City,Skills
511, membersRequirements,Skills
512,  UI,Skills
513,  CSS,Skills
514, Continuous,Skills
515, Written Communication,Skills
516, Angular JS,Skills
517, UI,Skills
518,  Performance Tuning,Skills
519, Diploma,Skills
520, Sonar,Skills
521,  Architecture Design ,Skills
522, Agile,Skills
523, AzureKnowledge,Skills
524,  Windows Operating Systems,Skills
525,  Angular,Skills
526, Verbal,Skills
527, debug,Skills
528, Web Application,Skills
529, Release notes)Troubleshoot,Skills
530, QualificationsRelevant Technical,Skills
531, Sales Team,Skills
532,  SQL Server,Skills
533, microsoft,Skills
534, vmware &,Skills
535, Business Development,Skills
536, Azure,Skills
537,  Replication,Skills
538, Bid Management,Skills
539, Workspace,Skills
540,  customer requirements,Skills
541, SCCM,Skills
542,  Able To Work Independently ,Skills
543, independentlyDemonstrates,Skills
544, Microsoft M365,Skills
545, nutanixBackup,Skills
546, Veeam,Skills
547, SQLServer,Skills
548,  Wsus,Skills
549, WSUS,Skills
550,  Pricing,Skills
551, PaaS &,Skills
552, Review,Skills
553, influence,Skills
554, veritasVirtual,Skills
555, AWSExperience,Skills
556, the Sales,Skills
557,  Selling,Skills
558, Account,Skills
559, learn &,Skills
560,  Citrix,Skills
561,Security,Skills
562, Architecture,Skills
563, MS Active,Skills
564, verbal communication,Skills
565, Information Systems,Skills
566, Cloud Technology,Skills
567, Directory,Skills
568, Microsoft Technologies,Skills
569, ICT Operation,Skills
570,  Firewalls,Skills
571,  Ict,Skills
572, preferredStrong,Skills
573, Operations,Skills
574, NAS,Skills
575, Infrastructure Architecture,Skills
576,  Private Cloud,Skills
577, Operation Management,Skills
578, the Infrastructure,Skills
579, design &,Skills
580, Electrical,Skills
581, Computer,Skills
582,  Infrastructure Architecture,Skills
583,  Systems engineering ,Skills
584, Nutanix Hyperconverged,Skills
585, ExpressRoute,Skills
586, Infrastructure Network,Skills
587, ADFS,Skills
588,  Dns,Skills
589,  Active Directory,Skills
590, issuesStrong,Skills
591, Comp Sci,Skills
592,  Business Development,Skills
593, Linux Blink,Skills
594, XWallet,Skills
595, BSC,Skills
596, Cross,Skills
597, Solana,Skills
598, Ethereum,Skills
599, f(x,Skills
600,  Rust ,Skills
601, Wallet,Skills
602, Chromium,Skills
603, Function X,Skills
604,  Mathematics,Skills
605, XPOS,Skills
606, chains,Skills
607,  Cryptography,Skills
608,  finish,Skills
609, Rust,Skills
610, DeFi,Skills
611, Cosmos,Skills
612, Mathematics>,Skills
613, C++,Skills
614, Ethereum Virtual,Skills
615,  Research Design,Skills
616, plusSkills,Skills
617, Linux kernel,Skills
618, C++Knowledge of,Skills
619, networking)Proficient,Skills
620,  Metrics ,Skills
621,  Amazon Web Services,Skills
622, AWSDefine,Skills
623,  Logging,Skills
624, metrics,Skills
625, QA,Skills
626,  Operational Processes,Skills
627,  Hybrid Cloud,Skills
628,  Script,Skills
629,  Software Delivery,Skills
630, modelCreate &,Skills
631, AWSAutomate,Skills
632, AWSWork,Skills
633,  Data Modeling,Skills
634,  Deployment,Skills
635, Cyber Security,Skills
636, medical condition,Skills
637,  Customer Satisfaction,Skills
638, Microsoft Defender,Skills
639, Cybersecurity,Skills
640, skills,Skills
641,  Customer Engagement,Skills
642, Azure Sentinel,Skills
643, QualificationsWe,Skills
644, Microsoft Cyber,Skills
645,  Recruiting,Skills
646, marital status,Skills
647,  Computer Security ,Skills
648, Strong Program,Skills
649, age,Skills
650,  mastering,Skills
651, national origin,Skills
652,  Program Management,Skills
653, race,Skills
654,  Crisis Management,Skills
655, ancestry,Skills
656, color,Skills
657, Accommodation,Skills
658, Networking,Skills
659, Crisis Management,Skills
660,  Ability To Prioritize ,Skills
661, Qliksense,Skills
662,  Soft Skills,Skills
663, QVD,Skills
664,  Qlikview,Skills
665, QlikView,Skills
666,  Data Transformation,Skills
667,  qlikview development,Skills
668,  Ux,Skills
669,  Data Visualization,Skills
670,  Ux Design,Skills
671, views,Skills
672, capabilities,Skills
673,  SAP,Skills
674, resource intensive,Skills
675, MS SQL,Skills
676, governance,Skills
677, data governance,Skills
678, Personnel,Skills
679,  Documentum,Skills
680, metadata,Skills
681, Documentum,Skills
682, AVEVA,Skills
683,  Amazon Aws,Skills
684, ETL,Skills
685, ResponsibilitiesLead,Skills
686, guidelinesFollow,Skills
687, auditability,Skills
688,  Etl,Skills
689,  Data Governance,Skills
690, stakeholders,Skills
691,  metadata ,Skills
692, 07C3676,Skills
693,  Sql Azure,Skills
694, SAP,Skills
695, NTT Group,Skills
696, APAC,Skills
697, Azure Administrator,Skills
698, Degree/,Skills
699, Azure Certified,Skills
700, IaC,Skills
701,  Administration,Skills
702,  Business Process ,Skills
703, Bash,Skills
704, S10,Skills
705, NTT DATA,Skills
706, Cloud solutions,Skills
707, Computer Engineering,Skills
708,  Analytical Skills,Skills
709,  Network Design,Skills
710, NTT,Skills
711,  Puppet,Skills
712,  Amazon Cloud,Skills
713, Terraform,Skills
714, Azure Virtual,Skills
715, CloudFormation,Skills
716, Fortune Magazine,Skills
717, gender identity,Skills
718,  IBM Cloud or Watson,Skills
719,  Procurement,Skills
720, NW,Skills
721, firewalls,Skills
722,  IT-Security,Skills
723,  Security Architecture,Skills
724,  Network Security,Skills
725, CASB,Skills
726, Config,Skills
727, AdministratorBasic Understanding,Skills
728,  Malware Analysis,Skills
729, NW AdminGood,Skills
730,  Cissp,Skills
731,  Japanese,Skills
732, IDS,Skills
733, DDOS,Skills
734, AWS Security,Skills
735, IPS,Skills
736, Education,Skills
737,  Good Communication Skills,Skills
738, Japanese,Skills
739,  Dashboard,Skills
740, NW Specialist,Skills
741, Tech,Skills
742, CloudtrailBe,Skills
743,  Security,Skills
744, COMITTEMENT,Skills
745, MITM,Skills
746, CIRPFamiliar,Skills
747, Data Leakage,Skills
748, Log Management,Skills
749, AD,Skills
750, SIEMS,Skills
751,  IT Systems ,Skills
752, Junior,Skills
753, Japan HQRequirements,Skills
754,  Vpn,Skills
755,  System Design,Skills
756,  Physics,Skills
757, NET Framework,Skills
758,  Technical Standards,Skills
759, Components Software,Skills
760, apps,Skills
761, .NET,Skills
762, driven,Skills
763, OPC,Skills
764,  Customer Interaction,Skills
765,  Translation,Skills
766, WPF,Skills
767,  Wpf,Skills
768,  Embedded C,Skills
769,  Wcf,Skills
770, DCOM,Skills
771,  Electronics ,Skills
772,  aftersales,Skills
773,  commercialization,Skills
774, lifecycle;Develop,Skills
775, Framework,Skills
776,  C#,Skills
777, WCF,Skills
778, Service,Skills
779, CEH,Skills
780, SkillsTo,Skills
781,  threat assessment,Skills
782, CISA,Skills
783,  Access Control,Skills
784, malware intrusion,Skills
785,  Rescue,Skills
786,  Cissp ,Skills
787, CISSP,Skills
788,  Cisa,Skills
789,  Security Operations,Skills
790, Certification RequirementsIT,Skills
791,  Ceh,Skills
792, defenses,Skills
793, SSCP,Skills
794, interruption recognition,Skills
795,  Auditing,Skills
796,  Penetration Testing,Skills
797, OSCP,Skills
798, CISM,Skills
799, techniquesPreparation,Skills
800, criteria,Skills
801, Security Operations,Skills
802, CK,Skills
803, PowerShell,Skills
804, phone,Skills
805, Redhat,Skills
806, Xen,Skills
807,  Gcp,Skills
808, Windows &,Skills
809,  Administration ,Skills
810, DNS)Familiarity,Skills
811, NFS,Skills
812, Google Computing,Skills
813, preferredManagement,Skills
814, ISQ,Skills
815, Storage Systems,Skills
816, GCP,Skills
817, Amazon,Skills
818, Managed Services,Skills
819, VMWare,Skills
820,  Bash,Skills
821, Ubuntu,Skills
822, Windows Server,Skills
823, Squared Capital,Skills
824,ROI,Skills
825, Solution Specialists,Skills
826, Business Value,Skills
827,  Customer Success,Skills
828,  Service Orientation,Skills
829, ASEAN,Skills
830,  Financial Services ,Skills
831, succeedCRM,Skills
832, clarifies,Skills
833, Partners,Skills
834, Salesforce,Skills
835, Success,Skills
836, Sales Engineers,Skills
837,  Sales Process,Skills
838, VP,Skills
839, Financial Services,Skills
840, Executives,Skills
841,  Direct Sales,Skills
842, financial targets,Skills
843, C,Skills
844, Professional Services,Skills
845,  Forecasting,Skills
846,  Solution Selling,Skills
847, T&O,Skills
848, technology,Skills
849, written/,Skills
850,  Process Improvement,Skills
851,  Security Governance,Skills
852, Bank,Skills
853, remote access,Skills
854,  Banking,Skills
855, ResponsibilitiesDrive,Skills
856,  Service Delivery,Skills
857, quality &,Skills
858, DLP,Skills
859,  Information Security Management,Skills
860, GIAC,Skills
861, Group T&O,Skills
862, GIS,Skills
863, Initiation,Skills
864,  Gis,Skills
865, SA,Skills
866, JYKEA License,Skills
867, operation,Skills
868, appearance,Skills
869, ResponsibilitiesPerform,Skills
870, server resources,Skills
871, AWS- Bachelor,Skills
872, Responsibilities,Skills
873,  System Administration,Skills
874,  Technical Analysis,Skills
875, memory,Skills
876, Network technologies-,Skills
877, Asset Management,Skills
878,  Research And Development ,Skills
879,  Data Center,Skills
880, Project Management,Skills
881, behaviours,Skills
882, SAP Experience,Skills
883, A/,Skills
884,  Abap,Skills
885, Functional &,Skills
886, Rand,Skills
887, SoftwareKnowledge,Skills
888,  Accounting,Skills
889, G/,Skills
890, ABAP,Skills
891, FPSL,Skills
892, P,Skills
893, Enterprise,Skills
894, PAPM,Skills
895,  Sap Hana,Skills
896,  Accountability ,Skills
897, SAP S4,Skills
898, L,Skills
899, BASISisan,Skills
900, BW,Skills
901, A,Skills
902, Insurance,Skills
903,develop architectural,Skills
904, Public,Skills
905, Operating Systems,Skills
906,  Pandas,Skills
907,  DHCP,Skills
908, Citrix,Skills
909, CommVault,Skills
910,  Operational Excellence,Skills
911, Microsoft Active,Skills
912,  Accountability,Skills
913, container services,Skills
914,  Ssrs,Skills
915, Jurong Island,Skills
916, GPO,Skills
917, SAN,Skills
918, ResponsibilitiesProvide,Skills
919, Microsoft Lync,Skills
920, Endpoint Backup,Skills
921, Skype,Skills
922, Microsoft Windows,Skills
923,  Windows Server,Skills
924, data analytics,Skills
925,  Operations Management,Skills
926, Office365,Skills
927, ASE,Skills
928, DHCP Services,Skills
929, Tableau,Skills
930, Business,Skills
931,  Customer Support,Skills
932, JS,Skills
933,  Cloud Computing Integration,Skills
934, AZ204,Skills
935, AZ300,Skills
936, Type Script,Skills
937, AZ104,Skills
938, service bus,Skills
939,  adobe creative cloud,Skills
940, Blog Posts,Skills
941,  Agile Scrum,Skills
942, Mentor junior,Skills
943,  Cloud Computing Application ,Skills
944, Angular,Skills
945, CD,Skills
946, PHP,Skills
947,  Github,Skills
948, solutionsUnderstand enterprise,Skills
949, IaaS Architecture,Skills
950, AZ103,Skills
951, C#,Skills
952, Meetups,Skills
953,  Open Source,Skills
954, Node,Skills
955, AZ301,Skills
956, DevSecOps,Skills
957, White Box Testing,Skills
958,  Mobile Applications,Skills
959, black box,Skills
960, programming,Skills
961,  Ios,Skills
962, Software Engineer,Skills
963, Scrum,Skills
964,  Unit Testing,Skills
965,  Agile Software Development,Skills
966,  Kanban,Skills
967, Swift,Skills
968, Android,Skills
969, Version Control,Skills
970,  Usability,Skills
971, white box,Skills
972, Creative,Skills
973,  Software Testing,Skills
974,  Subversion ,Skills
975,  Ios Development,Skills
976, Internet,Skills
977,  Mariadb,Skills
978, iOS development,Skills
979, Macintosh,Skills
980, Kanban,Skills
981, Subversion,Skills
982,JWE,Skills
983, Integration Engineers,Skills
984, Temasek Holdings,Skills
985,  Test Cases,Skills
986, Marketnode10%,Skills
987, JWS,Skills
988, Level,Skills
989, Training,Skills
990, ISO20022,Skills
991, Marketnode,Skills
992, Ad-,Skills
993, utilities)Behaviours,Skills
994, JWT,Skills
995, Dockers,Skills
996, SGX,Skills
997,  process integration ,Skills
998, Institutional Financial,Skills
999, Engineers,Skills
1000, DLT,Skills
1001, Hyperledger Fabric,Skills
1002, FIXML,Skills
1003, Interfacing,Skills
1004,London,Skills
1005, Tokyo,Skills
1006, Los Angeles,Skills
1007, ACM,Skills
1008, TikTok,Skills
1009,  Distributed Systems,Skills
1010, Dubai,Skills
1011, New York,Skills
1012, Produce Engineers,Skills
1013,  Verilog,Skills
1014,  Vlsi ,Skills
1015, Paris,Skills
1016, stability,Skills
1017,  Rtl Design,Skills
1018, monitoring,Skills
1019,  Oral Communication Skills,Skills
1020,  Tcl,Skills
1021, Seoul,Skills
1022, Mumbai,Skills
1023, Jakarta,Skills
1024, Berlin,Skills
1025,  Design Patterns,Skills
1026,  Architectural Design,Skills
1027, Real Estate ,Skills
1028, Develop,Skills
1029, Equal Opportunities,Skills
1030, 16 weeks,Skills
1031, GENDER,Skills
1032,  Financial Modelling,Skills
1033, ManpowerGroup,Skills
1034,  Team Spirit,Skills
1035, FAMILY,Skills
1036,  Data Quality,Skills
1037, Data Core,Skills
1038,  Attention To Details,Skills
1039, PREGNANCY,Skills
1040,  Wealth,Skills
1041,  Excel,Skills
1042, ManpowerGroup Singapore,Skills
1043, CPF,Skills
1044,  Investment Management,Skills
1045, sg,Skills
1046, SRS,Skills
1047, servicesImplement,Skills
1048, R1434374,Skills
1049,  wellbeing,Skills
1050,37,Skills
1051,  Investments,Skills
1052, integrity,Skills
1053,  Due Diligence,Skills
1054, Purpose Our,Skills
1055,  Stress,Skills
1056, FAMILY Becoming,Skills
1057, the Personal,Skills
1058, innovation,Skills
1059, Global Privacy,Skills
1060, manpower,Skills
1061, excelAnalytical,Skills
1062,  Microstrategy,Skills
1063, proposals,Skills
1064, Existing Clients,Skills
1065, New,Skills
1066,  Tableau,Skills
1067, media,Skills
1068,  Power Bi,Skills
1069, webinars,Skills
1070, MicroStrategy,Skills
1071,  Business Analyst,Skills
1072, marketing,Skills
1073, Microsoft Power,Skills
1074, Client Advisory,Skills
1075, Data &,Skills
1076, InfoCepts,Skills
1077, QlikExperience,Skills
1078,  Microsoft Power Bi,Skills
1079, delivery,Skills
1080,  Solutioning,Skills
1081,2020,Skills
1082,  Data Management,Skills
1083, writing,Skills
1084,  data engineering,Skills
1085, Gartner,Skills
1086, Sales Support,Skills
1087,  thought leadership,Skills
1088,  acquisitions,Skills
1089, AzureExperience,Skills
1090, events,Skills
1091, EMEA,Skills
1092, Application Development,Skills
1093, Groovy,Skills
1094, configuration management,Skills
1095, FTP,Skills
1096, BA,Skills
1097, managementRequirements:3,Skills
1098, Gerrit,Skills
1099,  Artifactory,Skills
1100, SVN,Skills
1101, support3,Skills
1102, Zephyr,Skills
1103, BASHAbility,Skills
1104, Confluence,Skills
1105, ArtifactoryExperience,Skills
1106,  Configuration Management,Skills
1107, Elastic Search,Skills
1108, North America,Skills
1109, R1548426,Skills
1110,  Incident Management,Skills
1111, proceduresDevelop,Skills
1112, systemsDemonstrate,Skills
1113, certification-------------------------------------------------------------------------------EA License Number,Skills
1114, AWSStrong interpersonal,Skills
1115, ICT,Skills
1116, the United States,Skills
1117, Data Science,Skills
1118, USA,Skills
1119, Inventors,Skills
1120, Impacting Lives,Skills
1121, SearchJobs,Skills
1122, Inc,Skills
1123, Kenilworth,Skills
1124, SGP,Skills
1125,  Data Science,Skills
1126, Czech Republic,Skills
1127, Centre,Skills
1128, IMDA,Skills
1129,2015,Skills
1130,  Business Requirements,Skills
1131, areMerck,Skills
1132,  Communication Skills ,Skills
1133, Inventing For,Skills
1134, Canada,Skills
1135, Africa,Skills
1136, Cybersecurity &,Skills
1137, Merck,Skills
1138, Smart Nation,Skills
1139, MSD,Skills
1140, job/,Skills
1141, WeWork,Skills
1142, Product Owner,Skills
1143, CLT,Skills
1144, the Infocomm,Skills
1145, Middle East,Skills
1146, Company,Skills
1147, MYP,Skills
1148, Research &,Skills
